capacity,demand_scenario,market_condition,replication,dp_revenue,dp_time,saa_revenue,saa_time,revenue_gap,num_eval_paths,eval_seed
3,low,budget,21,1280.8934622393926,19.613316,1255.4176024942005,36.675041913986206,1.9889132465905894,1000,21000
3,low,budget,22,1310.897764149678,19.821112,1299.0289083628932,37.054227113723755,0.9053990411284086,1000,22000
3,low,budget,23,1286.119610547538,19.7317,1248.5036136385904,37.65444374084473,2.9247666080554846,1000,23000
3,low,budget,24,1221.1167492313512,19.512572,1181.3900125350735,35.22668218612671,3.2533119147930902,1000,24000
3,low,budget,25,1304.4495183733056,19.465644,1294.1898078610539,35.81873106956482,0.7865164859001983,1000,25000
3,low,budget,26,1290.467684088265,19.484085,1252.1167749317833,35.45071816444397,2.971861258469037,1000,26000
3,low,budget,27,1291.7996674153121,19.451263,1270.5493835196746,36.41989183425903,1.6450138850210394,1000,27000
3,low,budget,28,1345.893786406121,19.979858,1330.92206587179,35.460206031799316,1.1123998554380283,1000,28000
3,low,budget,29,1285.86311194267,19.579458,1255.733051289158,35.449421882629395,2.343177930346855,1000,29000
3,low,budget,30,1298.9883855043333,19.655729,1258.8259369521707,36.11967206001282,3.091825069441986,1000,30000
3,low,budget,31,1244.7439453707348,19.379439,1197.661218731259,36.547290086746216,3.782523049385285,1000,31000
3,low,budget,32,1346.1820255243883,20.061249,1317.4902326771428,36.123459815979004,2.131345709809862,1000,32000
3,low,budget,33,1301.2228013631266,19.954067,1269.6781238301212,35.83049201965332,2.424233382627479,1000,33000
3,low,budget,34,1317.5648307043525,19.804162,1297.5044274612405,36.18192172050476,1.5225363318469842,1000,34000
3,low,budget,35,1292.0568801893924,19.750163,1273.428088182322,35.7422661781311,1.4417934916564772,1000,35000
3,low,budget,36,1293.0747857826611,20.07666,1271.5296756782914,35.88766288757324,1.6661921136548286,1000,36000
3,low,budget,37,1257.6778956666749,19.376589,1231.3222413470992,36.155359983444214,2.095580626039786,1000,37000
3,low,budget,38,1294.2608231108538,19.617433,1278.5665029300844,36.8156099319458,1.2126087648273958,1000,38000
3,low,budget,39,1290.5506872180483,19.707401,1261.1513299849937,37.28520202636719,2.278047466421392,1000,39000
3,low,budget,40,1304.3676323367458,20.526427,1287.5743640405876,35.58139085769653,1.2874643528276943,1000,40000
3,low,budget,41,1291.259348282251,20.253715,1245.7873680937319,35.46501803398132,3.5215218576353458,1000,41000
3,low,budget,42,1306.582878596388,20.329395,1275.3721444500372,35.64086198806763,2.3887297666015,1000,42000
3,low,budget,43,1349.7690488741325,20.635559,1325.7965861034916,35.35905694961548,1.776041819201354,1000,43000
3,low,budget,44,1270.8086434401876,20.131353,1241.1588326644558,35.62289881706238,2.333145192927491,1000,44000
3,low,budget,45,1243.177014799514,19.885646,1213.467627699833,35.90894389152527,2.3897953988855045,1000,45000
3,low,budget,46,1341.3030011271953,20.411067,1306.1604882135966,36.255056858062744,2.6200279045126913,1000,46000
3,low,budget,47,1305.9646942489464,20.750554,1290.1676508028281,36.90066719055176,1.209607236373501,1000,47000
3,low,budget,48,1257.7941461416617,19.658472,1223.1663642046492,37.27757215499878,2.7530563759765254,1000,48000
3,low,budget,49,1331.3280263319182,19.989277,1312.986826711824,38.209801197052,1.377661947869294,1000,49000
3,low,budget,50,1326.3131753294995,19.848647,1306.8635456929865,37.99500584602356,1.4664432200698818,1000,50000
3,low,budget,51,1301.4389506246112,19.559783,1266.6542916927588,38.320295095443726,2.6727845293978545,1000,51000
3,low,budget,52,1285.7290611319006,19.481422,1261.173301842453,37.79382514953613,1.9098704409644316,1000,52000
3,low,budget,53,1271.6029445429501,19.479847,1239.4411598940737,37.7995331287384,2.5292316903556906,1000,53000
3,low,budget,54,1284.9960378795142,19.655915,1281.104702951966,38.668211936950684,0.30282855455101254,1000,54000
3,low,budget,55,1274.2583466429,20.026082,1255.021862054747,38.948055028915405,1.5096220196502916,1000,55000
3,low,budget,56,1361.693221148938,21.014918,1330.0101246063978,36.44668698310852,2.326742620911878,1000,56000
3,low,budget,57,1292.4818209278214,20.83499,1281.9217233932507,36.81042790412903,0.8170403145005253,1000,57000
3,low,budget,58,1234.0114375054716,20.588166,1200.1510250069562,36.042288064956665,2.743930199460998,1000,58000
3,low,budget,59,1326.2415826415374,21.196314,1305.8857845804384,36.17721486091614,1.5348484263745825,1000,59000
3,low,budget,60,1265.4014357656843,20.438236,1239.6165981614938,36.41134166717529,2.037680444750582,1000,60000
3,low,budget,61,1292.6467391223787,20.807315,1270.8879420663761,36.60506010055542,1.683274818824463,1000,61000
