property_type,capacity,T,N,replication,state_space_size,saa_time,saa_revenue,dp_time,dp_revenue
mid_size,150,56,84,4,618964527657004718154214880039611912631783981885255329345209285296647294671856798231601715087890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,798.0883409976959,11972.651348561692,,
mid_size,150,84,14,0,2919292602539062500000000000000,381.77866888046265,10847.057564459194,,
mid_size,150,84,14,1,2919292602539062500000000000000,333.00946402549744,10685.838543559266,,
mid_size,150,84,14,2,2919292602539062500000000000000,319.5627489089966,10701.953823746024,,
mid_size,150,84,14,3,2919292602539062500000000000000,268.97446298599243,10556.4772373873,,
mid_size,150,84,14,4,2919292602539062500000000000000,266.6910719871521,10668.490914947442,,
mid_size,150,84,28,0,8522269299239292740821838378906250000000000000000000000000000,379.2538170814514,11975.587002837663,,
mid_size,150,84,28,1,8522269299239292740821838378906250000000000000000000000000000,378.71734404563904,12031.32966931029,,
mid_size,150,84,28,2,8522269299239292740821838378906250000000000000000000000000000,380.4429280757904,12105.80046609777,,
mid_size,150,84,28,3,8522269299239292740821838378906250000000000000000000000000000,382.6483910083771,11931.342840921141,,
mid_size,150,84,28,4,8522269299239292740821838378906250000000000000000000000000000,381.5690779685974,11908.743258336899,,
mid_size,150,84,84,0,618964527657004718154214880039611912631783981885255329345209285296647294671856798231601715087890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,725.5746688842773,12037.556221298217,,
mid_size,150,84,84,1,618964527657004718154214880039611912631783981885255329345209285296647294671856798231601715087890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,722.6153516769409,12099.58384725336,,
mid_size,150,84,84,2,618964527657004718154214880039611912631783981885255329345209285296647294671856798231601715087890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,732.2293980121613,12057.143593244546,,
mid_size,150,84,84,3,618964527657004718154214880039611912631783981885255329345209285296647294671856798231601715087890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,724.9268152713776,12362.413534962914,,
mid_size,150,84,84,4,618964527657004718154214880039611912631783981885255329345209285296647294671856798231601715087890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,723.0747022628784,12224.940709004046,,
mid_size,150,168,14,0,2919292602539062500000000000000,286.09765696525574,10905.166598531958,,
mid_size,150,168,14,1,2919292602539062500000000000000,289.2941749095917,10567.366406864046,,
mid_size,150,168,14,2,2919292602539062500000000000000,287.61088609695435,10688.34086721986,,
mid_size,150,168,14,3,2919292602539062500000000000000,289.30288100242615,10726.143124319111,,
mid_size,150,168,14,4,2919292602539062500000000000000,291.23691296577454,10701.363777588474,,
mid_size,150,168,28,0,8522269299239292740821838378906250000000000000000000000000000,422.01273012161255,11966.98353168881,,
mid_size,150,168,28,1,8522269299239292740821838378906250000000000000000000000000000,426.81670212745667,11867.36535159189,,
mid_size,150,168,28,2,8522269299239292740821838378906250000000000000000000000000000,427.4881691932678,12092.758095348394,,
mid_size,150,168,28,3,8522269299239292740821838378906250000000000000000000000000000,438.55650997161865,12037.571577923336,,
mid_size,150,168,28,4,8522269299239292740821838378906250000000000000000000000000000,428.6709568500519,11845.772863574019,,
mid_size,150,168,84,0,618964527657004718154214880039611912631783981885255329345209285296647294671856798231601715087890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,832.2932238578796,12320.300095633314,,
mid_size,150,168,84,1,618964527657004718154214880039611912631783981885255329345209285296647294671856798231601715087890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,834.2797811031342,12261.006864059229,,
mid_size,150,168,84,2,618964527657004718154214880039611912631783981885255329345209285296647294671856798231601715087890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,834.9421501159668,12395.3604393781,,
mid_size,150,168,84,3,618964527657004718154214880039611912631783981885255329345209285296647294671856798231601715087890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,832.2025458812714,12206.162765377652,,
mid_size,150,168,84,4,618964527657004718154214880039611912631783981885255329345209285296647294671856798231601715087890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,826.4728801250458,12352.288514758755,,
large,300,84,28,0,2287679245496100000000000000000000000000000000000000000000000000000000,385.8594648838043,12062.77933611559,,
large,300,84,28,1,2287679245496100000000000000000000000000000000000000000000000000000000,395.4299249649048,11939.719335971977,,
large,300,84,28,2,2287679245496100000000000000000000000000000000000000000000000000000000,386.5486989021301,11965.72200019638,,
large,300,84,28,3,2287679245496100000000000000000000000000000000000000000000000000000000,380.16172194480896,11928.25891568,,
large,300,84,28,4,2287679245496100000000000000000000000000000000000000000000000000000000,387.1040370464325,11816.024512651153,,
large,300,84,84,0,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,733.8067820072174,12180.099940503458,,
large,300,84,84,1,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,733.1585810184479,12217.16092655365,,
large,300,84,84,2,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,733.577850818634,12163.043554979811,,
large,300,84,84,3,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,736.1639759540558,12416.169647743682,,
large,300,84,84,4,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,738.4209971427917,12242.137487872902,,
large,300,168,28,0,2287679245496100000000000000000000000000000000000000000000000000000000,424.18481612205505,12011.052919697911,,
large,300,168,28,1,2287679245496100000000000000000000000000000000000000000000000000000000,425.69765305519104,11882.15154229662,,
large,300,168,28,2,2287679245496100000000000000000000000000000000000000000000000000000000,432.76983976364136,12033.188153122284,,
large,300,168,28,3,2287679245496100000000000000000000000000000000000000000000000000000000,423.5058169364929,11902.29485273384,,
large,300,168,28,4,2287679245496100000000000000000000000000000000000000000000000000000000,424.601891040802,11972.961459698281,,
large,300,168,84,0,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,820.665806055069,12258.323138040738,,
large,300,168,84,1,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,821.1692359447479,12453.248310959136,,
large,300,168,84,2,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,816.9480049610138,12523.094073414419,,
large,300,168,84,3,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,818.0848228931427,12352.392648009887,,
large,300,168,84,4,11972515182562019788602740026717047105681000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,813.1345641613007,12382.238698955282,,
large,300,336,28,0,2287679245496100000000000000000000000000000000000000000000000000000000,483.5217559337616,12131.252382019422,,
large,300,336,28,1,2287679245496100000000000000000000000000000000000000000000000000000000,474.17658281326294,12220.507278618148,,
large,300,336,28,2,2287679245496100000000000000000000000000000000000000000000000000000000,475.19337487220764,11886.1654119063,,
large,300,336,28,3,2287679245496100000000000000000000000000000000000000000000000000000000,473.8746600151062,11922.215602267539,,
