capacity,demand_scenario,market_condition,replication,dp_revenue,dp_time,saa_revenue,saa_time,revenue_gap
3,low,budget,0,531.5895068551715,0.241884,521.1398622965403,13.180303812026978,1.9657356708280886
3,low,budget,1,547.0111724643721,0.242669,548.8803872797997,12.971740245819092,-0.34171419333293407
3,low,budget,2,546.4287594716285,0.244252,530.3293732579693,13.142902135848999,2.9462918879354967
3,low,budget,3,546.9956485543626,0.247279,558.5731049761936,12.80983567237854,-2.11655366042284
3,low,budget,4,544.4243255565807,0.243093,535.5315498678788,13.071728944778442,1.6334273233677774
3,low,budget,5,529.6442749861642,0.247735,517.1518112403171,13.437581062316895,2.358651709427696
3,low,budget,6,548.25800944278,0.249268,544.064738050376,13.426635980606079,0.7648354096396672
3,low,budget,7,509.07019707241574,0.246582,467.53336008641617,12.967286109924316,8.159353508587131
3,low,budget,8,561.567871295226,0.240105,551.8420188868926,12.797615051269531,1.7319104075347698
3,low,budget,9,544.2897226669633,0.242695,548.0881846916498,13.410445213317871,-0.697875022529257
3,low,budget,10,526.8777004068799,0.242713,502.4895528243305,13.060780763626099,4.628806184758949
3,low,budget,11,509.3970195315529,0.246131,493.44122268832695,12.742255926132202,3.1322909698017294
3,low,budget,12,543.7359053106879,0.246228,511.61159951093657,13.188667297363281,5.90807145270197
3,low,budget,13,555.1722199489535,0.246872,531.239066292036,12.895961046218872,4.31094222602098
3,low,budget,14,538.4734882623983,0.243025,526.7368670973055,13.31460189819336,2.1796098454105293
3,low,budget,15,527.1813652160504,0.243562,514.8023698930641,13.137097835540771,2.3481473625140543
3,low,budget,16,532.1129905254813,0.240675,517.9349679851897,13.151458024978638,2.664475927620243
3,low,budget,17,531.5267365839591,0.245243,507.06930103619965,13.191375732421875,4.601355654269361
3,low,budget,18,537.0509753649817,0.241634,524.7070004469613,13.021004915237427,2.2984736057189754
3,low,budget,19,510.3916583806127,0.244102,479.886085508907,13.162106990814209,5.976894874907392
3,low,budget,20,533.7876328029752,0.245274,532.8506819580309,13.589389085769653,0.17552876600460401
3,low,budget,21,571.6685655416691,0.240055,548.624361678712,13.290410041809082,4.03104267962016
3,low,budget,22,552.2377230837773,0.241107,542.7137709108029,13.14939022064209,1.7246109374403578
3,low,budget,23,537.3527791913818,0.253374,509.6683011039505,13.342042684555054,5.152011706181446
3,low,budget,24,535.7970280802525,0.244342,529.2194826876307,13.208014011383057,1.2276188645892612
3,low,budget,25,557.5934470505815,0.250217,541.0464372446049,13.382929801940918,2.9675760885467404
3,low,budget,26,539.0530877331894,0.247134,546.0802683580445,13.301997184753418,-1.3036156892089379
3,low,budget,27,524.8886070432781,0.242408,498.0239933360312,13.14175009727478,5.118155232702893
